b-кварк	N	1) bottom quark, beauty quark
c-кварк	N	1) charm quark
d-кварк	N	1) down quark
s-кварк	N	1) strange quark
t-кварк	N	1) top quark, truth quark
u-кварк	N	1) up quark
α-частица	N	1) alpha particle, α-particle
АБК	N	1) ABA (abscisic acid)
АДД	N	1) strategic aviation, long-range aviation, long haul aircraft 2) long-range artillery
АЗС	N	1) gas station, petrol station
АКПП	N	1) automatic transmission
АО	N	1) JSC, joint-stock company
АО	N	1) autonomous oblast
АО	N	1) autonomous okrug
АЭС	N	1) nuclear power station
Абалкин	N	1) surnameAbalkin
Абатуров	N	1) surnameAbaturov
Аббас	N	1) surnameAbbas.
Аид	N	1) Hades
Альцгеймер	N	1) Alzheimer's disease [colloquial]
Аравийское море	N	1) Arabian Sea
Атлантида	N	1) Atlantis
Атлантический океан	N	1) Atlantic Ocean
Ахеменид	N	1) Achaemenid
Б-то.	N	1) gross weight
БРИК	N	1) BRIC (Brazil, Russia, India, China)
Балтийское море	N	1) Baltic Sea
Баренцево море	N	1) Barents Sea
Бастер	N	1) Basseterre
Белфаст	N	1) Belfast
Берн	N	1) Bern ''(capital of Switzerland)'' 2) Bern ''(canton in Switzerland)'' 3) Berne ''(town in the State of Indiana)''
Биг Мак	N	1) [variant of биг-мэ́к]
Бр.	N	1) gross weight
Бронкс	N	1) Bronx (borough of New York City)
Бруклин	N	1) Brooklyn (borough of New York City)
Бтто.	N	1) gross weight
В.	N	1) east
ВВП	N	1) GDP; gross domestic product
ВВС	N	1) air force
ВИЧ	N	1) HIV
ВИЧ-инфекция	N	1) HIV infection
ВИЧ-инфицированный	N	1) HIV-infected person
ВМФ	N	1) navy
ВНЖ	N	1) residence permit
ВНП	N	1) GNP
ВОВ	N	1) the Great Patriotic War (WW II)
Вадим	N	1) male given name, Vadim
Ванкувер	N	1) Vancouver 2) Vancouver
Веды	N	1) Vedas
Великобритания	N	1) Great Britain
Владикавказ	N	1) Vladikavkaz, capital city of the Republic of North Ossetia-Alania, Russia
Владислав	N	1) male given name, Vladislav.
Внутренняя Монголия	N	1) Inner Mongolia
Вселенная	N	1) universe
ГОРОНО	N	1) municipal department of people's education
ГОСТ	N	1) ISO
ГТО	N	1) Literally: Ready for Labour and Defence (of the USSR): physical culture training program in the USSR
ГУЛАГ	N	1) gulag [historical]
ГЭС	N	1) hydroelectric power station
Генеральная Ассамблея ООН	N	1) United Nations General Assembly
Дедушка Мороз	N	1) Grandfather Frost (equivalent to our Saint Nicholas)
День Победы	N	1) Victory Day
Джомолунгма	N	1) Mount Everest
Додоново	N	1) Dodonovo, a village near Zheleznogorsk, Krasnoyarsk Krai
Дунай	N	1) the Danube River
Дунька Кулакова	N	1) Rosy Palm and her five daughters 2) Rosey Redpalm and her five sisters 3) Patsy Palmer and her five sisters 4) the five-finger shuffle
Ермолай	N	1) male given name, Yermolay.
Ж	N	1) The eighth letter of the Russian alphabet 2) ladies' room, women's toilet
ЖЭК	N	1) housing maintenance office
ЗАГС	N	1) civil registry, civil registration
ЗРК	N	1) anti-aircraft missile complex
Золотая Орда	N	1) Golden Horde
ИК	N	1)  [linguistics]
ИП	N	1) sole trader, sole proprietor
Иван Иванович	N	1) The Russian equivalent of John Smith , John Doe , Joe Q. Public
Иран	N	1) Iran
К	N	1) Kt (knight) [chess]
КВР	N	1) overhaul
КПК	N	1) pocket PC
КПП	N	1) checkpoint
КПП	N	1) gearbox
Казбек	N	1) Kazbek
Каин	N	1) Cain
Каир	N	1) Cairo
Карабах	N	1) Karabakh 2) Nagorno-Karabakh 3) Nagorno-Karabakh Republic [colloquial]
Карское море	N	1) Kara Sea
Кл	N	1) C, coulomb
Коламбия	N	1) Columbia Pictures
Кр	N	1) K (king) [chess]
Кузьма	N	1) male given name, Kuzma, cognate to Cosmo.
Куинс	N	1) Queens (borough of New York City)
Л.	N	1) 
ЛГБТ	N	1) LGBT
ЛСД	N	1) LSD, acid ()
ЛЭП	N	1) electric power transmission line
Ласа	N	1) Lhasa
Ленинград	N	1) Leningrad [historical]
Лилия	N	1) female given name, Lylia, Lily
Лос-Анджелес	N	1) Los Angeles
МВД	N	1) Ministry of Home Affairs, Interior Ministry
МВФ	N	1) IMF, International Monetary Fund
МИД	N	1) ministry of foreign affairs
МК	N	1) microcomputer
МКС	N	1) ISS, international space station
МТКК	N	1) STS (Space Transportation System) 2) Space Shuttle, shuttle
МФА	N	1) IPA, International Phonetic Alphabet
МЧС	N	1) Ministry of Emergency Situations
Манхэттен	N	1) Manhattan (island and borough of New York City)
Мб	N	1) MB (megabyte)
Мексиканский залив	N	1) Gulf of Mexico
Мерседес	N	1) Mercedes
Мерседес	N	1) [female given name]
МиГ	N	1) MiG, mig
Миг	N	1) MiG, mig (a series of fighter jets designed by Mikoyán and Gurévich ... А. И. Микоян и М. И. Гуревич) [aviation]
Н-то.	N	1) net
НДС	N	1) VAT, value-added tax
НИИ	N	1) (scientific) research institute
